X5 X8 X9
Affected subjects:
0 12 0 
14 0 14 
0 18 0 

15 0 14 
0 58 0 
14 0 20 

0 13 0 
17 0 10 
0 19 0 

Unaffected subjects:
5 0 3 
0 46 0 
11 0 5 

0 27 0 
35 0 30 
0 25 0 

15 0 6 
0 39 0 
9 0 6 

HLO matrix:
O H O 
H L H 
L H O 

H L H 
L H L 
H L H 

L H O 
H L H 
O H O 


X0 X1 X3
Affected subjects:
3 12 2 
7 12 11 
1 6 2 

9 10 8 
18 35 14 
9 10 3 

2 10 2 
5 15 10 
7 11 4 

Unaffected subjects:
3 5 4 
13 21 10 
2 5 6 

12 25 4 
15 26 19 
9 9 8 

7 3 6 
9 21 7 
6 5 2 

HLO matrix:
O H O 
O O O 
O O O 

O L H 
O O O 
O O O 

O H O 
O L O 
O O O 


X2 X3 X5
Affected subjects:
5 6 3 
1 22 7 
5 5 6 

5 20 8 
17 26 18 
7 17 3 

4 5 5 
10 13 7 
4 7 2 

Unaffected subjects:
4 6 7 
9 10 7 
3 6 6 

13 15 6 
11 35 15 
8 12 9 

5 13 7 
7 14 12 
10 6 6 

HLO matrix:
O O O 
L H O 
O O O 

L O O 
O L O 
O O O 

O O O 
O O O 
O O O 


X3 X4 X9
Affected subjects:
3 5 5 
5 19 6 
6 12 0 

15 20 8 
15 27 20 
2 7 7 

4 8 2 
7 11 8 
3 11 2 

Unaffected subjects:
9 8 4 
9 20 9 
4 9 4 

4 10 7 
23 34 12 
7 18 5 

2 12 1 
14 14 3 
3 12 5 

HLO matrix:
L O O 
O O O 
H H O 

H O O 
O O O 
O L O 

O O O 
O O O 
O O O 


X3 X4 X7
Affected subjects:
3 6 4 
4 14 12 
6 8 4 

17 21 5 
21 25 16 
3 9 4 

4 8 2 
3 15 8 
4 8 4 

Unaffected subjects:
3 10 8 
13 17 8 
4 9 4 

8 6 7 
14 36 19 
10 11 9 

2 9 4 
5 22 4 
3 12 5 

HLO matrix:
O O O 
L O H 
O O O 

O H O 
O O O 
L O O 

O O O 
O O H 
O O O 


X0 X7 X9
Affected subjects:
6 8 4 
8 9 4 
0 13 4 

11 10 9 
12 35 13 
8 14 4 

1 12 4 
9 12 12 
5 7 4 

Unaffected subjects:
4 10 4 
9 21 6 
4 10 1 

9 11 7 
23 30 8 
9 17 13 

2 10 5 
10 22 3 
5 6 3 

HLO matrix:
O O O 
O L O 
O H O 

O O O 
O H O 
O O L 

O O O 
O L H 
O O O 


X4 X7 X9
Affected subjects:
12 9 3 
8 18 9 
2 6 3 

2 14 12 
16 23 15 
9 20 7 

4 7 2 
5 15 5 
2 8 2 

Unaffected subjects:
2 8 3 
8 13 4 
5 9 5 

10 13 9 
27 41 7 
9 14 8 

3 10 4 
7 19 6 
4 10 4 

HLO matrix:
H O O 
O O O 
O O O 

L O O 
O L H 
O H O 

O O O 
O O O 
O O O 


X0 X1 X7
Affected subjects:
6 6 5 
8 13 9 
4 2 3 

9 12 6 
13 40 14 
8 8 6 

5 7 2 
8 14 8 
4 12 6 

Unaffected subjects:
2 8 2 
12 23 9 
4 5 4 

10 18 13 
13 25 22 
4 18 4 

5 8 3 
9 20 8 
3 7 3 

HLO matrix:
O O O 
O O O 
O O O 

O O O 
O H O 
O L O 

O O O 
O O O 
O O O 


X1 X4 X5
Affected subjects:
5 12 6 
6 11 5 
4 3 6 

10 16 5 
16 30 21 
4 19 6 

4 9 3 
8 17 4 
1 4 3 

Unaffected subjects:
7 6 3 
8 12 14 
4 10 5 

8 10 7 
23 44 16 
9 11 13 

3 8 5 
4 12 5 
4 4 7 

HLO matrix:
O O O 
O O O 
O L O 

O O O 
O L H 
O H O 

O O O 
H O O 
O O O 


X2 X3 X4
Affected subjects:
4 6 4 
11 16 3 
4 7 5 

7 18 8 
22 29 10 
7 14 6 

2 6 6 
10 17 3 
3 5 5 

Unaffected subjects:
2 10 5 
4 13 9 
5 5 5 

14 15 5 
9 41 11 
7 14 8 

5 13 7 
8 15 10 
3 12 7 

HLO matrix:
O O O 
O O L 
O O O 

L O O 
H L O 
O O O 

O O O 
O O O 
O O O 


X0 X1 X4
Affected subjects:
9 6 2 
8 17 5 
2 4 3 

7 12 8 
20 32 15 
8 11 3 

7 4 3 
3 18 9 
6 14 2 

Unaffected subjects:
0 6 6 
10 24 10 
5 3 5 

12 21 8 
5 39 16 
7 12 7 

4 7 5 
10 20 7 
4 6 3 

HLO matrix:
O O O 
O O O 
O O O 

L O O 
H O O 
O O O 

O O O 
L O O 
O H O 


X1 X4 X7
Affected subjects:
5 13 5 
8 7 7 
7 5 1 

6 19 6 
17 33 17 
6 15 8 

13 3 0 
3 14 12 
0 5 3 

Unaffected subjects:
4 6 6 
8 17 9 
5 11 3 

5 11 9 
20 43 20 
9 14 10 

4 8 4 
4 15 2 
3 7 5 

HLO matrix:
O H O 
O O O 
O O O 

O O O 
O O O 
O O O 

O L O 
O O H 
O O O 


X2 X4 X8
Affected subjects:
4 10 5 
8 18 3 
3 4 5 

9 13 14 
14 32 15 
3 13 8 

3 7 5 
7 9 12 
3 7 4 

Unaffected subjects:
3 6 2 
1 18 9 
4 13 2 

9 15 6 
16 37 17 
4 14 6 

4 9 3 
10 21 9 
5 17 2 

HLO matrix:
O O O 
O O L 
O L O 

O O O 
O O O 
O O O 

O O O 
O O O 
O O O 


X7 X8 X9
Affected subjects:
6 8 3 
6 13 11 
6 9 3 

7 11 8 
18 28 9 
4 17 12 

2 6 3 
7 17 4 
4 11 5 

Unaffected subjects:
1 6 4 
10 19 11 
4 6 1 

14 13 3 
16 45 11 
12 15 3 

5 8 2 
9 21 8 
4 4 7 

HLO matrix:
O O O 
O O O 
O O O 

O O O 
H O O 
L O H 

O O O 
O O O 
O H O 


X1 X5 X6
Affected subjects:
2 8 5 
8 16 2 
3 9 5 

8 16 6 
16 29 20 
10 20 2 

3 7 3 
5 19 6 
2 5 3 

Unaffected subjects:
7 8 4 
7 13 8 
8 9 5 

14 16 10 
21 34 10 
11 15 10 

2 5 4 
6 9 9 
2 9 6 

HLO matrix:
O O O 
O O L 
O O O 

O O O 
O L H 
O O L 

O O O 
O O O 
O O O 


X3 X4 X8
Affected subjects:
5 3 5 
10 13 7 
2 8 8 

8 20 15 
13 33 16 
3 7 6 

3 7 4 
6 13 7 
4 9 3 

Unaffected subjects:
5 12 4 
7 21 10 
4 10 3 

6 12 3 
13 40 16 
4 21 5 

5 6 4 
7 15 9 
5 13 2 

HLO matrix:
O L O 
O O O 
O O H 

O O H 
O O O 
O L O 

O O O 
O O O 
O O O 


X0 X4 X9
Affected subjects:
4 12 3 
7 13 7 
3 5 2 

15 12 8 
11 30 14 
5 17 4 

3 9 4 
9 14 13 
3 8 3 

Unaffected subjects:
5 6 4 
8 19 6 
4 16 1 

7 12 5 
26 33 13 
8 13 10 

3 12 3 
12 16 5 
2 10 3 

HLO matrix:
O O O 
O O O 
O L O 

H O O 
L O O 
O H L 

O O O 
O O H 
O O O 


X1 X3 X7
Affected subjects:
4 6 4 
12 12 8 
4 7 1 

7 12 11 
19 33 10 
3 22 10 

2 10 5 
10 10 7 
4 2 3 

Unaffected subjects:
6 13 3 
10 11 12 
1 10 3 

12 13 12 
15 33 20 
7 22 7 

2 10 5 
7 9 3 
2 11 3 

HLO matrix:
O O O 
O O O 
O O O 

O O O 
O O L 
O O O 

O O O 
O O O 
O L O 


X4 X5 X9
Affected subjects:
4 11 4 
13 15 9 
5 7 2 

10 13 7 
9 28 21 
8 16 6 

0 6 3 
7 15 4 
4 9 2 

Unaffected subjects:
5 9 4 
5 12 7 
5 9 1 

7 24 4 
23 30 15 
16 14 5 

4 13 0 
7 10 8 
3 16 6 

HLO matrix:
O O O 
H O O 
O O O 

H O O 
L O O 
O O O 

O O O 
O H O 
O O O 


X2 X4 X9
Affected subjects:
9 6 4 
6 17 6 
4 4 4 

11 17 8 
12 30 19 
4 17 3 

2 10 3 
9 10 9 
3 9 2 

Unaffected subjects:
3 8 0 
7 15 6 
3 12 4 

7 16 7 
25 35 10 
5 11 8 

5 6 5 
14 18 8 
6 16 2 

HLO matrix:
O O O 
O O O 
O L O 

O O O 
L O O 
O H L 

O O O 
O O O 
O O O 


X0 X5 X7
Affected subjects:
3 9 6 
10 5 10 
5 7 1 

5 12 8 
15 35 14 
10 13 4 

3 7 5 
6 19 7 
8 7 4 

Unaffected subjects:
5 9 6 
9 16 6 
4 11 3 

6 13 12 
14 26 17 
7 22 10 

4 12 3 
10 13 6 
3 10 5 

HLO matrix:
O O O 
O L O 
O O O 

O O O 
O H O 
O O O 

O O O 
L O O 
H O O 


X4 X5 X7
Affected subjects:
2 13 4 
13 19 5 
9 3 2 

6 12 12 
12 29 17 
10 13 7 

3 3 3 
6 11 9 
4 11 0 

Unaffected subjects:
4 5 9 
6 11 7 
3 9 3 

7 20 8 
19 35 14 
6 20 9 

4 9 4 
8 9 8 
5 14 6 

HLO matrix:
O H L 
O O O 
O L O 

O O H 
L O O 
O O O 

O O O 
O O O 
O O O 


X5 X6 X8
Affected subjects:
1 7 5 
8 12 11 
3 9 2 

6 12 11 
19 30 15 
4 16 8 

2 8 5 
6 16 12 
5 3 2 

Unaffected subjects:
3 18 2 
2 17 10 
3 11 4 

4 22 8 
17 27 12 
6 16 5 

5 8 8 
13 15 5 
3 16 2 

HLO matrix:
O O O 
H O O 
O O O 

O O O 
O O O 
O O O 

O O O 
L O O 
O L O 


X0 X4 X8
Affected subjects:
4 8 7 
6 19 2 
3 4 3 

9 12 14 
14 25 16 
3 14 9 

3 10 3 
9 15 12 
3 6 5 

Unaffected subjects:
2 8 5 
10 16 7 
2 16 3 

8 12 4 
8 45 19 
10 16 5 

6 10 2 
9 15 9 
1 12 2 

HLO matrix:
O O O 
O H O 
O L O 

O O O 
H O O 
L O O 

O O O 
O O O 
O O O 


X1 X2 X8
Affected subjects:
3 8 1 
9 10 9 
2 9 7 

10 15 8 
9 34 21 
10 9 11 

2 9 4 
8 14 7 
1 5 3 

Unaffected subjects:
1 9 0 
9 16 5 
10 16 3 

4 20 10 
17 37 16 
5 24 8 

3 8 3 
3 13 8 
4 7 3 

HLO matrix:
O O O 
O O O 
L O O 

O O O 
L O O 
H O O 

O O O 
O O O 
O O O 


X1 X3 X9
Affected subjects:
3 11 0 
6 15 11 
2 7 3 

4 18 8 
20 29 13 
9 21 5 

7 7 3 
6 10 11 
3 2 4 

Unaffected subjects:
7 10 5 
8 17 8 
5 8 1 

9 20 8 
20 34 14 
11 18 7 

6 7 4 
6 11 2 
3 12 1 

HLO matrix:
O O O 
O O O 
O O O 

O O O 
O O O 
O O O 

O O O 
O O H 
O L O 


X3 X4 X5
Affected subjects:
3 7 3 
9 18 3 
2 6 10 

11 23 9 
13 28 21 
4 10 2 

5 7 2 
8 12 6 
3 10 3 

Unaffected subjects:
8 10 3 
11 19 8 
3 5 9 

7 8 6 
12 38 19 
8 13 9 

3 6 6 
12 11 8 
6 7 7 

HLO matrix:
L O O 
O O O 
O O H 

O H O 
O L O 
O O L 

O O O 
O O O 
O O O 


X2 X4 X6
Affected subjects:
3 9 7 
5 18 6 
1 8 3 

10 17 9 
15 31 15 
5 16 3 

4 9 2 
10 15 3 
