X0 X3 X4
Affected subjects:
0 14 0 
11 1 17 
0 15 0 

12 2 19 
1 58 1 
19 1 12 

1 13 0 
17 1 14 
0 14 0 

Unaffected subjects:
8 0 10 
0 23 0 
5 0 9 

0 37 0 
32 0 29 
0 33 0 

10 0 6 
0 46 0 
7 0 2 

HLO matrix:
O H L 
H L H 
O H O 

H L H 
L H L 
H L H 

L H O 
H L H 
O H O 


X1 X5 X8
Affected subjects:
2 12 4 
9 14 8 
5 8 6 

5 14 11 
20 19 21 
13 15 6 

3 12 2 
3 20 3 
3 3 2 

Unaffected subjects:
5 12 4 
10 13 14 
2 12 6 

9 13 10 
5 32 8 
17 7 11 

4 10 7 
7 17 5 
7 6 4 

HLO matrix:
O O O 
O O O 
O O O 

O O O 
H L H 
O H O 

O O O 
O O O 
O O O 


X6 X8 X9
Affected subjects:
1 13 3 
3 10 7 
2 9 6 

9 10 11 
13 28 11 
3 11 12 

6 6 4 
13 20 12 
7 7 6 

Unaffected subjects:
6 7 2 
8 13 12 
9 3 3 

10 19 5 
10 31 17 
11 17 11 

7 7 3 
6 16 9 
4 5 6 

HLO matrix:
O H O 
O O O 
L H O 

O L H 
H O O 
O O O 

O O O 
H O O 
O O O 


X1 X7 X9
Affected subjects:
3 10 3 
11 16 12 
1 9 3 

10 12 13 
9 29 14 
9 15 13 

3 5 1 
8 10 10 
3 8 3 

Unaffected subjects:
4 6 4 
13 18 11 
5 8 9 

2 24 6 
19 19 14 
9 12 7 

3 3 4 
9 21 7 
7 7 6 

HLO matrix:
O O O 
O O O 
O O L 

H L O 
L O O 
O O O 

O O O 
O O O 
O O O 


X1 X4 X8
Affected subjects:
4 5 6 
4 18 9 
8 11 3 

6 15 13 
21 23 18 
11 10 7 

2 7 3 
6 20 0 
1 8 4 

Unaffected subjects:
2 12 4 
7 19 14 
8 6 6 

8 10 10 
16 27 12 
7 15 7 

4 9 3 
12 19 13 
2 5 0 

HLO matrix:
O L O 
O O O 
O O O 

O O O 
O O O 
O L O 

O O O 
O O L 
O O O 


X3 X5 X8
Affected subjects:
6 9 5 
12 10 8 
6 2 3 

1 25 8 
10 27 15 
9 17 9 

3 4 4 
10 16 9 
6 7 2 

Unaffected subjects:
5 10 4 
7 20 6 
6 9 4 

9 19 14 
8 31 14 
14 11 10 

4 6 3 
7 11 7 
6 5 7 

HLO matrix:
O O O 
O L O 
O L O 

L H O 
O O O 
O H O 

O O O 
O O O 
O O O 


X6 X7 X9
Affected subjects:
1 5 2 
3 20 5 
2 7 9 

10 9 8 
9 19 21 
6 21 5 

5 13 7 
16 16 10 
5 4 5 

Unaffected subjects:
4 7 4 
16 13 7 
3 3 6 

3 21 5 
15 29 16 
13 17 12 

2 5 5 
10 16 9 
5 7 4 

HLO matrix:
O O O 
L H O 
O O O 

H L O 
O O O 
O O L 

O O O 
O O O 
O O O 


X3 X8 X9
Affected subjects:
6 10 8 
5 10 6 
4 5 7 

4 11 5 
22 32 15 
5 14 13 

6 8 5 
2 16 9 
3 8 4 

Unaffected subjects:
6 8 4 
5 19 15 
5 4 5 

14 15 2 
14 29 18 
15 14 9 

3 10 4 
5 12 5 
4 7 6 

HLO matrix:
O O O 
O O L 
O O O 

L O O 
H O O 
L O O 

O O O 
O O O 
O O O 


X1 X5 X9
Affected subjects:
4 8 6 
8 14 9 
3 13 3 

7 12 11 
15 30 15 
6 14 14 

6 7 4 
5 13 8 
3 3 2 

Unaffected subjects:
7 8 6 
12 15 10 
3 9 8 

7 15 10 
12 18 15 
11 22 2 

6 9 6 
8 14 7 
5 8 4 

HLO matrix:
O O O 
O O O 
O H O 

O O O 
O O O 
O L H 

O O O 
O O O 
O O O 


X2 X3 X8
Affected subjects:
7 3 4 
10 13 9 
5 8 4 

11 10 9 
7 42 16 
8 12 9 

6 8 3 
3 14 7 
6 7 2 

Unaffected subjects:
8 9 3 
10 14 14 
6 7 2 

7 22 8 
11 29 18 
6 10 7 

3 8 3 
10 18 6 
5 5 8 

HLO matrix:
O O O 
O O O 
O O O 

O L O 
O H O 
O O O 

O O O 
L O O 
O O L 


X1 X6 X7
Affected subjects:
2 9 3 
8 17 7 
6 13 3 

5 15 13 
13 24 17 
17 13 7 

1 4 2 
6 8 8 
2 16 4 

Unaffected subjects:
6 14 3 
5 18 17 
3 10 2 

7 10 6 
20 24 15 
5 18 7 

2 12 3 
4 18 10 
4 7 7 

HLO matrix:
O O O 
O O L 
O O O 

O O H 
L O O 
H L O 

O O O 
O O O 
O H O 


X4 X8 X9
Affected subjects:
4 8 0 
5 16 6 
4 10 8 

9 9 13 
19 26 16 
6 9 12 

3 12 5 
5 16 8 
2 8 4 

Unaffected subjects:
7 5 2 
7 14 10 
6 5 6 

12 18 5 
12 33 20 
12 15 12 

4 10 3 
5 13 8 
6 5 2 

HLO matrix:
O O O 
O O O 
O O O 

O L H 
H O O 
O O O 

O O O 
O O O 
O O O 


X0 X7 X9
Affected subjects:
4 5 2 
11 13 8 
3 9 3 

11 17 9 
11 27 17 
6 17 10 

1 5 6 
6 15 11 
4 6 6 

Unaffected subjects:
3 9 4 
7 14 6 
2 6 4 

1 16 7 
20 29 15 
14 17 12 

5 8 3 
14 15 11 
5 4 6 

HLO matrix:
O O O 
O O O 
O O O 

H O O 
O O O 
O O O 

O O O 
O O O 
O O O 


X0 X4 X8
Affected subjects:
1 6 4 
11 11 8 
5 10 2 

8 13 11 
11 34 16 
11 11 10 

3 8 7 
9 16 3 
4 8 2 

Unaffected subjects:
3 9 1 
9 12 2 
7 8 4 

5 16 11 
17 35 18 
8 15 6 

6 6 5 
9 18 19 
2 3 3 

HLO matrix:
O O O 
O O H 
O O O 

O O O 
O O O 
O O O 

O O O 
O O L 
O H O 


X0 X4 X7
Affected subjects:
2 4 5 
5 20 5 
4 8 5 

13 10 9 
13 32 16 
11 13 8 

3 9 6 
8 12 8 
1 11 2 

Unaffected subjects:
3 6 4 
7 12 4 
6 9 4 

7 12 13 
13 36 21 
4 16 9 

4 8 5 
9 30 7 
3 2 3 

HLO matrix:
O O O 
O H O 
O O O 

O O O 
O O O 
O O O 

O O O 
O L O 
O H O 


X2 X7 X8
Affected subjects:
3 11 2 
15 6 7 
4 7 8 

5 12 9 
18 34 14 
3 18 11 

5 9 4 
5 14 6 
5 6 2 

Unaffected subjects:
8 10 1 
12 12 14 
4 8 4 

4 15 7 
11 28 21 
9 18 5 

4 5 2 
10 17 6 
4 9 9 

HLO matrix:
L O O 
O O O 
O O H 

O O O 
O O O 
L O H 

O O O 
O O O 
O O L 


X5 X6 X9
Affected subjects:
2 3 2 
5 17 10 
10 7 9 

1 19 7 
15 22 15 
12 16 10 

3 10 7 
5 10 9 
4 10 3 

Unaffected subjects:
9 5 6 
9 18 9 
2 9 7 

10 9 7 
14 28 15 
8 10 10 

4 9 4 
8 21 9 
7 9 1 

HLO matrix:
O O O 
O O O 
H O O 

L H O 
O O O 
O O O 

O O O 
O O O 
O O O 


X1 X6 X8
Affected subjects:
3 6 5 
11 16 5 
2 12 8 

14 11 8 
13 22 19 
11 15 11 

0 3 4 
6 14 2 
3 18 1 

Unaffected subjects:
4 12 7 
10 15 15 
3 10 2 

6 11 6 
16 29 14 
9 12 9 

5 10 2 
8 14 10 
5 9 4 

HLO matrix:
O O O 
O O L 
O O H 

H O O 
O O O 
O O O 

O O O 
O O L 
O H O 


X3 X6 X7
Affected subjects:
2 6 4 
8 12 7 
9 8 5 

4 17 10 
16 29 13 
5 18 9 

2 5 4 
3 8 12 
11 16 0 

Unaffected subjects:
6 9 6 
3 17 9 
2 11 8 

7 20 5 
13 35 25 
7 15 3 

2 7 1 
13 8 8 
3 9 5 

HLO matrix:
O O O 
H O O 
H O O 

O O H 
O O L 
O O O 

O O O 
L O O 
O O O 


X3 X7 X8
Affected subjects:
4 5 10 
14 10 2 
6 6 4 

5 16 4 
11 37 16 
4 16 12 

4 11 1 
13 7 9 
2 9 5 

Unaffected subjects:
3 6 2 
9 19 9 
6 14 3 

6 15 6 
16 30 24 
9 16 8 

7 9 2 
8 8 8 
2 5 7 

HLO matrix:
O O H 
H O L 
O L O 

O O O 
O H O 
O O O 

O O O 
O O O 
O O O 


X0 X3 X7
Affected subjects:
3 8 3 
6 13 10 
2 11 2 

13 11 9 
14 32 14 
10 12 10 

3 7 4 
5 19 8 
4 6 4 

Unaffected subjects:
5 8 5 
7 12 4 
4 7 3 

3 21 13 
11 28 22 
10 15 8 

3 8 5 
9 30 7 
4 2 3 

HLO matrix:
O O O 
O O H 
O O O 

H O O 
O O O 
O O O 

O O O 
O O O 
O O O 


X0 X6 X9
Affected subjects:
3 11 2 
7 10 6 
8 6 5 

3 12 11 
13 28 14 
12 21 11 

0 9 3 
5 11 14 
6 6 6 

Unaffected subjects:
3 10 4 
4 13 9 
5 6 1 

10 9 8 
17 37 17 
8 16 9 

10 4 5 
10 17 7 
4 6 8 

HLO matrix:
O O O 
O O O 
O O O 

O O O 
O O O 
O O O 

L H O 
O O H 
O O O 


X0 X3 X8
Affected subjects:
7 4 3 
6 17 6 
4 6 5 

11 11 11 
8 35 17 
11 12 9 

6 6 2 
6 17 9 
4 9 1 

Unaffected subjects:
6 10 2 
9 12 2 
4 7 3 

9 22 6 
13 31 17 
8 13 12 

3 7 6 
9 18 19 
5 2 2 

HLO matrix:
O L O 
O O O 
O O O 

O L H 
O O O 
O O O 

O O O 
O O L 
O H O 


X0 X1 X8
Affected subjects:
2 13 6 
14 7 8 
1 7 0 

10 18 9 
15 26 23 
5 14 5 

4 3 3 
9 15 7 
3 14 2 

Unaffected subjects:
8 11 2 
6 8 5 
5 10 0 

5 20 11 
17 31 15 
8 15 9 

4 6 11 
8 13 9 
5 8 7 

HLO matrix:
L O O 
O O O 
O O H 

O O O 
L O O 
O O O 

O L O 
O O O 
O O O 


X1 X7 X8
Affected subjects:
4 7 5 
9 21 9 
3 6 4 

8 17 10 
22 17 13 
8 14 15 

1 8 0 
7 16 5 
1 11 2 

Unaffected subjects:
3 7 4 
10 18 14 
4 12 6 

11 16 5 
12 22 18 
8 14 6 

2 7 1 
11 17 9 
5 9 6 

HLO matrix:
O O O 
O O O 
O O O 

O O O 
H O O 
O O H 

O O O 
O O O 
O O O 


X7 X8 X9
Affected subjects:
4 6 3 
7 16 9 
5 5 5 

8 19 11 
16 25 13 
4 11 12 

4 4 4 
6 17 8 
3 11 7 

Unaffected subjects:
1 11 4 
4 18 8 
4 4 2 

14 14 5 
10 29 18 
17 15 9 

8 8 1 
10 13 12 
3 6 9 

HLO matrix:
O L O 
O O O 
O O O 

O O O 
H O O 
L O O 

O O O 
O O O 
O H O 


X5 X6 X8
Affected subjects:
1 3 3 
5 19 8 
4 16 6 

9 10 8 
15 23 14 
8 20 10 

7 7 6 
10 10 4 
4 9 4 

Unaffected subjects:
4 12 4 
11 14 11 
3 9 6 

5 14 7 
10 34 13 
7 14 7 

6 7 4 
13 10 15 
7 8 2 

HLO matrix:
O L O 
O H O 
O O O 

O O O 
O O O 
O O O 

O O O 
O O L 
O O O 


X3 X6 X8
Affected subjects:
5 3 4 
15 6 6 
4 12 6 

9 13 9 
8 34 16 
3 22 7 

3 4 4 
7 12 4 
9 11 7 

Unaffected subjects:
3 10 8 
10 15 4 
5 14 2 

7 18 7 
18 31 24 
6 12 7 

5 5 0 
6 12 11 
6 5 6 

HLO matrix:
O L O 
H O O 
O O O 

O O O 
L O O 
O O O 

O O O 
O O L 
O O O 


X0 X5 X8
Affected subjects:
2 8 3 
8 14 8 
7 5 3 

5 20 11 
16 24 17 
9 14 9 

3 10 3 
8 15 7 
5 7 2 

Unaffected subjects:
6 8 1 
6 13 2 
7 8 4 

7 16 13 
9 36 14 
14 14 8 

5 11 7 
7 13 11 
5 3 9 

HLO matrix:
O O O 
O O H 
O O O 

O O O 
O L O 
O O O 

O O O 
O O O 
O H L 


X0 X3 X6
Affected subjects:
5 7 2 
9 14 6 
2 2 11 

6 14 13 
