X3 X8 X9
Affected subjects:
15 0 14 
0 47 1 
8 0 13 

2 48 0 
51 0 54 
0 55 2 

13 0 12 
1 48 0 
15 0 13 

Unaffected subjects:
0 28 0 
22 0 29 
0 20 0 

26 0 29 
0 99 0 
26 0 14 

0 28 0 
18 0 24 
0 25 0 

HLO matrix:
H L H 
L H L 
O L H 

L H L 
H L H 
L H L 

H L H 
L H L 
H L H 


X1 X5 X8
Affected subjects:
10 9 5 
10 36 14 
3 10 10 

13 19 14 
31 42 27 
9 24 14 

5 18 5 
15 31 9 
8 13 8 

Unaffected subjects:
4 9 4 
20 14 14 
8 19 3 

13 29 5 
27 48 22 
13 12 16 

9 17 5 
12 25 13 
5 19 3 

HLO matrix:
H O O 
L H O 
O L H 

O L H 
O O O 
O H O 

O O O 
O O O 
O O O 


X0 X4 X7
Affected subjects:
12 10 6 
6 29 12 
5 13 5 

15 28 13 
30 55 20 
9 23 8 

8 10 4 
6 43 17 
4 14 7 

Unaffected subjects:
7 9 7 
21 19 17 
2 13 5 

12 18 22 
22 40 26 
9 27 13 

8 18 2 
18 25 6 
6 12 4 

HLO matrix:
H O O 
L O O 
O O O 

O O O 
O O O 
O O O 

O L O 
L O H 
O O O 


X0 X6 X7
Affected subjects:
4 14 4 
12 24 12 
7 14 7 

15 30 12 
24 55 21 
15 21 8 

8 21 5 
7 35 12 
3 11 11 

Unaffected subjects:
13 10 6 
10 24 14 
7 7 9 

12 25 13 
18 43 30 
13 17 18 

5 10 2 
18 29 7 
9 16 3 

HLO matrix:
L O O 
O O O 
O O O 

O O O 
O O O 
O O L 

O O O 
L O O 
L L H 


X0 X5 X8
Affected subjects:
8 11 5 
14 24 15 
4 8 9 

13 27 12 
19 51 22 
12 30 15 

7 8 7 
23 34 13 
4 9 8 

Unaffected subjects:
6 11 2 
19 29 8 
8 11 6 

9 30 9 
27 44 22 
13 21 14 

11 14 3 
13 14 19 
5 18 2 

HLO matrix:
O O O 
O O O 
O O O 

O O O 
O O O 
O O O 

O L O 
H H L 
O L H 


X0 X5 X7
Affected subjects:
1 14 9 
15 26 12 
7 12 2 

16 28 8 
19 52 21 
19 26 12 

3 14 5 
12 41 17 
3 12 6 

Unaffected subjects:
4 9 6 
18 24 14 
8 8 9 

11 22 15 
25 35 33 
7 28 13 

6 17 5 
12 30 4 
14 8 3 

HLO matrix:
O O O 
O O O 
O O L 

O O O 
O O L 
H O O 

O O O 
O O H 
L O O 


X0 X5 X6
Affected subjects:
9 11 4 
10 26 17 
3 11 7 

14 27 11 
22 48 22 
21 25 11 

8 9 5 
20 34 16 
6 11 4 

Unaffected subjects:
4 13 2 
16 27 13 
9 8 8 

21 20 7 
19 44 30 
10 27 11 

5 18 5 
8 24 14 
4 12 9 

HLO matrix:
O O O 
L O O 
L O O 

L O O 
O O O 
H O O 

O L O 
H O O 
O O O 


X1 X4 X8
Affected subjects:
6 11 12 
12 32 12 
5 12 5 

16 21 12 
27 45 29 
10 19 14 

5 19 4 
14 34 13 
9 9 5 

Unaffected subjects:
7 16 4 
20 16 13 
5 10 4 

8 25 11 
28 40 24 
17 24 8 

7 17 8 
15 29 9 
4 15 4 

HLO matrix:
O O H 
L H O 
